record_id	record_type	current_status	next_target_layer	lock_status	urgency	download_status	download_target	download_source_url	assigned_reason
10.3389_fphar.2018.00006	paper	candidate	paper	retrieved	normal	queued	_incoming_shawn_bio_search/review_needed	https://www.frontiersin.org/articles/10.3389/fphar.2018.00006/pdf	paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
10.15252_embj.2018100300	paper	candidate	paper	retrieved	normal	queued	_incoming_shawn_bio_search/review_needed	https://onlinelibrary.wiley.com/doi/pdfdirect/10.15252/embj.2018100300	paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
10.1038_s41578-021-00279-y	paper	candidate	paper	retrieved	normal	queued	_incoming_shawn_bio_search/review_needed	https://www.nature.com/articles/s41578-021-00279-y.pdf	paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
10.1038_s43586-022-00174-y	paper	candidate	paper	retrieved	normal	queued	_incoming_shawn_bio_search/review_needed	https://www.nature.com/articles/s43586-022-00174-y.pdf	paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
10.3402_jev.v4.27066	paper	candidate	paper	retrieved	normal	queued	_incoming_shawn_bio_search/review_needed	https://www.tandfonline.com/doi/pdf/10.3402/jev.v4.27066?needAccess=true&role=button	paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
10.1038_s41392-019-0089-y	paper	candidate	paper	retrieved	normal	queued	_incoming_shawn_bio_search/review_needed	https://www.nature.com/articles/s41392-019-0089-y.pdf	paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
10.1117_12.3000978.a7aff37d-a624-ee11-a99a-b38e0bc17c27	paper	candidate	paper	retrieved	normal	blocked			paper candidate promotion requires bibliographic lock; retrieval export is not manuscript adjudication
E-MTAB-10195	dataset	candidate	dataset_link_review	not_applicable	normal	not_applicable		https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-10195	dataset candidate requires mapping/project linkage review
E-MTAB-3453	dataset	candidate	dataset_link_review	not_applicable	normal	not_applicable		https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-3453	dataset candidate requires mapping/project linkage review
E-MTAB-7350	dataset	candidate	dataset_link_review	not_applicable	normal	not_applicable		https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-7350	dataset candidate requires mapping/project linkage review
E-MTAB-6929	dataset	candidate	dataset_link_review	not_applicable	normal	not_applicable		https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-6929	dataset candidate requires mapping/project linkage review
E-MTAB-12759	dataset	candidate	dataset_link_review	not_applicable	normal	not_applicable		https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-12759	dataset candidate requires mapping/project linkage review
E-MTAB-8051	dataset	candidate	dataset_link_review	not_applicable	normal	not_applicable		https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-8051	dataset candidate requires mapping/project linkage review
E-MTAB-9772	dataset	candidate	dataset_link_review	not_applicable	normal	not_applicable		https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-9772	dataset candidate requires mapping/project linkage review
E-MTAB-6866	dataset	candidate	dataset_link_review	not_applicable	normal	not_applicable		https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-6866	dataset candidate requires mapping/project linkage review
E-MTAB-9392	dataset	candidate	dataset_link_review	not_applicable	normal	not_applicable		https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-9392	dataset candidate requires mapping/project linkage review
E-MTAB-15564	dataset	candidate	dataset_link_review	not_applicable	normal	not_applicable		https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-15564	dataset candidate requires mapping/project linkage review
E-MTAB-11104	dataset	candidate	dataset_link_review	not_applicable	normal	not_applicable		https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-11104	dataset candidate requires mapping/project linkage review
E-MTAB-10186	dataset	candidate	dataset_link_review	not_applicable	normal	not_applicable		https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-10186	dataset candidate requires mapping/project linkage review
E-MTAB-14267	dataset	candidate	dataset_link_review	not_applicable	normal	not_applicable		https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-14267	dataset candidate requires mapping/project linkage review
E-MTAB-10794	dataset	candidate	dataset_link_review	not_applicable	normal	not_applicable		https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-10794	dataset candidate requires mapping/project linkage review
E-MTAB-8553	dataset	candidate	dataset_link_review	not_applicable	normal	not_applicable		https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-8553	dataset candidate requires mapping/project linkage review
CRX1146057	dataset	candidate	dataset_link_review	not_applicable	normal	not_applicable		https://ngdc.cncb.ac.cn/gsa/browse/CRA017939/CRX1146057	dataset candidate requires mapping/project linkage review
CRX911461	dataset	candidate	dataset_link_review	not_applicable	normal	not_applicable		https://ngdc.cncb.ac.cn/gsa/browse/CRA014129/CRX911461	dataset candidate requires mapping/project linkage review
CRX658741	dataset	candidate	dataset_link_review	not_applicable	normal	not_applicable		https://ngdc.cncb.ac.cn/gsa/browse/CRA010691/CRX658741	dataset candidate requires mapping/project linkage review
CRX1596740	dataset	candidate	dataset_link_review	not_applicable	normal	not_applicable		https://ngdc.cncb.ac.cn/gsa/browse/CRA024461/CRX1596740	dataset candidate requires mapping/project linkage review
CRX1064720	dataset	candidate	dataset_link_review	not_applicable	normal	not_applicable		https://ngdc.cncb.ac.cn/gsa/browse/CRA016603/CRX1064720	dataset candidate requires mapping/project linkage review
CRX1064735	dataset	candidate	dataset_link_review	not_applicable	normal	not_applicable		https://ngdc.cncb.ac.cn/gsa/browse/CRA016603/CRX1064735	dataset candidate requires mapping/project linkage review
CRX1064751	dataset	candidate	dataset_link_review	not_applicable	normal	not_applicable		https://ngdc.cncb.ac.cn/gsa/browse/CRA016603/CRX1064751	dataset candidate requires mapping/project linkage review
CRX1064755	dataset	candidate	dataset_link_review	not_applicable	normal	not_applicable		https://ngdc.cncb.ac.cn/gsa/browse/CRA016603/CRX1064755	dataset candidate requires mapping/project linkage review
CRX1064771	dataset	candidate	dataset_link_review	not_applicable	normal	not_applicable		https://ngdc.cncb.ac.cn/gsa/browse/CRA016603/CRX1064771	dataset candidate requires mapping/project linkage review
CRX1064821	dataset	candidate	dataset_link_review	not_applicable	normal	not_applicable		https://ngdc.cncb.ac.cn/gsa/browse/CRA016603/CRX1064821	dataset candidate requires mapping/project linkage review
CRX1064823	dataset	candidate	dataset_link_review	not_applicable	normal	not_applicable		https://ngdc.cncb.ac.cn/gsa/browse/CRA016603/CRX1064823	dataset candidate requires mapping/project linkage review
CRX1064836	dataset	candidate	dataset_link_review	not_applicable	normal	not_applicable		https://ngdc.cncb.ac.cn/gsa/browse/CRA016603/CRX1064836	dataset candidate requires mapping/project linkage review
CRX1064842	dataset	candidate	dataset_link_review	not_applicable	normal	not_applicable		https://ngdc.cncb.ac.cn/gsa/browse/CRA016603/CRX1064842	dataset candidate requires mapping/project linkage review
CRX1064860	dataset	candidate	dataset_link_review	not_applicable	normal	not_applicable		https://ngdc.cncb.ac.cn/gsa/browse/CRA016603/CRX1064860	dataset candidate requires mapping/project linkage review
CRX1064898	dataset	candidate	dataset_link_review	not_applicable	normal	not_applicable		https://ngdc.cncb.ac.cn/gsa/browse/CRA016603/CRX1064898	dataset candidate requires mapping/project linkage review
